OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
53306,"CENTENNIAL (LIMA), CO",3313,WM Supercenter,Retail,10900 E BRIARWOOD AVE,CENTENNIAL,DOUGLAS,CO,80112-3820,Open,cec64abf-42c2-45d9-b19b-e09f8961bafb,-11673166.5211,4806621.4694
53307,"GLENDALE, AZ",3314,Neighborhood Market,Retail,7450 W GLENDALE AVE,GLENDALE,MARICOPA,AZ,85303-3000,Open,f363e716-03f6-4e9c-ac82-9d9e6bf308fb,-12492147.2432,3967107.6245
53308,"PHOENIX, AZ",3315,Neighborhood Market,Retail,4230 W UNION HILLS DR,GLENDALE,MARICOPA,AZ,85308-1704,Open,7c4eab1c-0efe-4df4-8a61-b1c2f7f6aab6,-12484525.0863,3982714.7976
53309,"ALBUQUERQUE, NM",3317,Neighborhood Market,Retail,8511 GOLF COURSE RD NW,ALBUQUERQUE,BERNALILLO,NM,87114-4896,Open,a9c89bdb-ffa7-4d83-ae7e-20a7f9590fd1,-11876647.7523,4188451.9447
53310,"HARKER HEIGHTS, TX",3319,WM Supercenter,Retail,2020 HEIGHTS DR,HARKER HEIGHTS,BELL,TX,76548-2000,Open,aafbb105-601c-46ee-abe9-d5fc82f05692,-10873066.364,3641841.3671
53311,"PALMHURST, TX",3320,WM Supercenter,Retail,215 E MILE 3 RD,PALMHURST,HIDALGO,TX,78573-6677,Open,0e64eb27-fa71-4b34-a66c-3d23b28a4970,-10944449.7648,3031407.9818
53312,"PEWAUKEE, WI",3322,Wal-Mart,Retail,411 PEWAUKEE RD,PEWAUKEE,WAUKESHA,WI,53072-5886,Open,647c8600-e076-4319-b0a4-e1ef6d900f4a,-9821517.4071,5325347.2942
53314,"SHEBOYGAN (N), WI",3324,WM Supercenter,Retail,4433 VANGUARD DR,SHEBOYGAN,SHEBOYGAN,WI,53083-6067,Open,fd09e485-f386-4558-b113-318d276c5ee7,-9770212.3688,5433387.4937
53316,OKLAHOMA CITY MAY & 134TH OK,3327,Neighborhood Market,Retail,2900 SW 134TH ST,OKLAHOMA CITY,CLEVELAND,OK,73170-5403,Open,a0d9d7c1-ec22-42fa-9806-e0797cc8a347,-10860952.243,4209226.4192
53317,"GREENVILLE, MI",3328,WM Supercenter,Retail,10772 W CARSON CITY RD,GREENVILLE,MONTCALM,MI,48838-9141,Open,2e10b35d-754d-4cb1-9da3-c6d1d2532014,-9494449.4998,5339405.2058
